,close,date,high,low,ma10,ma20,ma5,max_close,max_high,max_volume,min_close,min_low,min_volume,open,p_change,price_change,stock_code,turnover,v_ma10,v_ma20,v_ma5,volume
107,14.26,2016-12-15,14.6,13.92,15.567,15.586,14.748,16.98,18.15,123076.14,14.25,13.92,13903.53,14.0,1.86,0.26,002591,1.55,60189.75,46956.56,48276.33,25984.16
27,25.74,2016-04-22,25.95,25.25,27.766,28.034,26.77,27.8,28.27,34248.6,25.74,25.25,10829.73,25.25,1.86,0.47,000065,0.57,33507.94,36955.45,24181.49,14545.23
166,27.4,2016-11-28,27.68,26.62,27.655,26.967,27.124,27.4,27.75,66208.2,25.19,24.67,25984.55,26.75,3.12,0.83,000065,1.44,59771.86,59492.27,59943.03,57719.86
201,25.2,2017-01-17,25.3,24.52,26.323,26.441,25.69,26.24,26.49,27771.52,25.12,24.52,4.0,24.52,1.29,0.32,000065,0.38,43754.74,33709.15,29576.54,15120.61
235,30.52,2017-03-10,30.54,30.06,30.715,30.557,30.478,32.28,32.53,73584.75,30.52,30.05,21595.98,30.13,1.36,0.41,000065,0.54,35987.43,46980.9,34660.86,21595.98
252,5.41,2017-01-17,5.42,5.2,6.087,5.774,5.728,5.41,5.42,218263.97,5.2,5.16,58451.6,5.3,2.27,0.12,601188,1.66,418036.87,232885.1,355470.41,218263.97
86,5.31,2016-05-12,5.32,5.02,5.716,5.983,5.372,5.39,5.56,272092.47,5.17,5.02,77142.09,5.2,0.76,0.04,600971,1.42,198667.87,342339.17,179550.38,141825.83
8,14.19,2016-01-14,14.6,12.44,16.855,18.797,14.894,14.51,14.98,214129.44,12.95,12.08,140055.09,12.5,6.93,0.92,600363,4.1,163406.27,240030.49,175082.28,181952.66
88,19.0,2016-08-30,19.24,18.45,19.707,19.704,19.266,19.1,19.37,101725.7,18.02,18.0,38300.73,18.5,0.9,0.17,600363,1.55,88154.26,87704.14,78115.52,68742.61
100,19.05,2016-09-19,19.06,17.9,18.564,19.027,18.328,19.11,19.35,192019.45,18.19,17.9,37190.06,18.06,5.78,1.04,600363,3.07,70011.09,73852.29,78057.81,136339.45
112,18.05,2016-10-21,18.24,17.6,18.426,18.486,18.072,18.49,18.57,84745.54,17.8,17.6,55658.85,17.79,1.35,0.24,600363,1.91,91180.16,80247.18,80352.69,84745.54
19,13.46,2016-01-29,13.6,12.7,14.787,15.824,13.998,15.18,15.49,49418.13,13.46,12.7,30931.99,12.71,4.34,0.56,600613,1.82,35155.02,34884.91,37938.76,32170.01
36,13.36,2016-03-01,13.58,12.93,14.695,14.41,14.006,14.0,14.22,41144.64,13.18,12.93,19093.25,13.03,2.38,0.31,600613,1.45,40371.28,39413.8,36966.27,25655.57
75,14.52,2016-04-26,14.52,14.05,14.893,14.948,14.33,16.32,16.32,128175.73,14.27,14.03,19870.44,14.16,2.54,0.36,600613,1.29,37799.77,41091.56,33218.25,22931.18
19,12.37,2016-01-29,12.48,11.87,13.39,14.325,12.684,13.8,13.95,31146.16,12.36,11.87,13751.58,11.87,4.21,0.5,603969,2.07,26606.58,35912.57,23959.35,20731.75
73,13.64,2016-04-22,13.65,13.08,14.169,13.983,13.86,13.87,14.2,72692.6,13.3,12.98,26942.65,13.19,1.64,0.22,603969,2.07,63653.23,58051.48,47898.68,27247.55
99,12.61,2016-05-31,12.64,12.2,12.258,12.488,12.328,12.91,12.98,46171.4,12.03,11.8,15762.86,12.26,3.53,0.43,603969,3.5,23151.17,29946.42,23178.17,46171.4
142,12.78,2016-08-02,12.83,12.21,13.224,13.437,12.73,13.09,13.17,28184.16,12.68,12.21,13384.0,12.62,1.67,0.21,603969,1.42,38050.62,39855.12,32296.03,18720.71
239,13.9,2016-12-26,13.95,13.44,13.61,14.0,13.774,14.45,14.6,48079.14,13.8,13.44,12264.89,13.66,1.98,0.27,603969,1.4,21235.63,22960.4,16993.85,21326.63
25,4.47,2016-07-12,4.56,4.46,5.548,6.432,4.954,4.48,4.56,884741.0,4.37,4.35,77735.62,4.46,-4.69,-0.22,600581,11.54,210664.99,240422.17,198978.4,884741.0
40,4.05,2016-08-02,4.07,4.02,4.249,4.475,4.106,4.45,4.58,244908.23,4.05,4.01,68729.94,4.04,0.25,0.01,600581,1.16,115348.18,175717.8,131177.04,88644.79
8,15.26,2016-01-14,15.36,14.18,17.832,20.434,15.976,16.33,16.71,131219.72,14.21,14.18,52027.04,14.18,2.21,0.33,600247,3.9,83812.49,80164.21,87148.66,131219.72
19,14.18,2016-01-29,14.18,12.87,15.144,16.188,14.52,15.96,16.47,117795.83,14.18,12.87,29995.5,12.99,5.04,0.68,600247,2.14,69382.36,78946.99,61730.1,71855.89
37,13.79,2016-03-02,13.79,13.15,14.979,14.983,14.012,15.47,15.78,99548.68,13.45,13.15,16170.78,13.15,5.03,0.66,600247,0.48,51128.24,58573.51,46996.01,16170.78
73,16.82,2016-04-22,16.82,15.8,16.957,17.125,16.682,18.42,18.58,97896.62,16.82,15.8,4170.0,15.9,4.99,0.8,600247,1.34,44041.96,58197.6,45011.97,44919.34
107,11.63,2016-06-15,11.79,11.3,12.717,12.828,12.246,11.8,12.07,79286.65,11.18,11.05,23211.75,11.36,1.04,0.12,600247,1.54,47149.08,52818.75,49016.47,51873.01
132,11.22,2016-07-20,11.37,11.06,11.345,11.549,11.162,13.12,13.43,180785.05,11.22,11.06,14055.47,11.12,1.45,0.16,600247,1.26,40152.73,46937.46,32598.57,42497.73
217,15.85,2016-11-25,15.86,15.15,15.967,15.735,15.718,16.13,16.25,46612.73,15.05,14.93,16581.03,15.43,2.52,0.39,600247,0.89,26495.17,26485.34,27586.68,29901.12
